* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1156.937137	110.194395
1173.765175	110.223143
1190.837983	110.254914
1208.159120	110.287532
1225.732199	110.322950
1243.560885	110.360912
1261.648894	110.389599
1280.000000	110.410055
1298.618029	110.430809
1317.506863	110.451864
1336.670442	110.470777
1356.112761	110.489572
1375.837875	110.508640
1395.849898	110.527986
1416.153002	110.545406
1436.751422	110.562712
1457.649452	110.580270
1478.851452	110.598082
1500.361842	110.593823
1522.185107	110.568704
1544.325799	110.543220
1566.788535	110.569782
1589.577999	110.645670
1612.698944	110.741122
1636.156190	110.822835
1659.954630	110.898722
1684.099226	110.958500
1708.595013	111.015413
1733.447100	111.072418
1758.660669	111.129339
1784.240977	111.186161
1810.193360	111.243076
1836.523229	111.300082
1863.236074	111.356999
1890.337467	111.413822
1917.833058	111.470738
1945.728583	111.527746
1974.029857	111.584659
2002.742782	111.641484
2031.873347	111.698401
2061.427625	111.755410
2091.411780	111.812319
2121.832065	111.869145
2152.694823	111.926063
2184.006490	111.981303
2215.773596	112.026717
2248.002765	112.072256
2280.700718	112.117888
2313.874274	112.219325
2347.530351	112.333146
2381.675966	112.446987
2416.318240	112.560808
2451.464399	112.669104
2487.121769	112.750493
2523.297789	112.864312
2560.000000	112.978156
2597.236057	113.091973
2635.013726	113.205819
2673.340883	113.319634
2712.225522	113.433481
2751.675750	113.547296
2791.699796	113.630650
2832.306004	113.736987
2873.502844	113.833026
2915.298905	113.926642
2957.702904	114.040493
3000.723683	114.154304
3044.370214	114.306123
3088.651599	114.415142
3133.577071	114.491030
3179.155999	114.571662
3225.397888	114.723481
3272.312380	114.837288
3319.909260	114.951144
3368.198452	115.064950
3417.190027	115.178807
3466.894200	115.292611
3517.321337	115.406469
3568.481954	115.503170
3620.386720	115.579058
3673.046457	115.646439
3726.472148	115.688693
3780.674934	115.608596
3835.666117	115.494796
3891.457165	115.304956
3948.059713	115.064932
4005.485564	114.837270
4063.746693	114.533631
4122.855250	114.229993
4182.823560	114.002331
4243.664130	113.774669
4305.389646	113.471030
4368.012981	113.243368
4431.547192	112.939730
4496.005531	112.761120
4561.401437	112.636358
4627.748549	112.484672
4695.060701	112.332986
4763.351932	112.181300
4832.636481	111.877661
4902.928797	111.649999
4974.243539	111.346361
5046.595577	111.098831
5120.000000	110.739084
5194.472115	110.435445
5270.027452	110.055830
5346.681766	109.733391
5424.451043	109.354043
5503.351500	108.992962
5583.399591	108.747299
5664.612008	108.461662
5747.005687	108.321649
5830.597810	108.254875
5915.405808	108.300237
6001.447367	108.358204
6088.740429	108.434092
6177.303198	108.509979
6267.154142	108.585866
6358.311998	108.661754
6450.795775	108.737641
6544.624761	108.828752
6639.818520	108.942638
6736.396904	109.094458
6834.380053	109.208232
6933.788400	109.319781
7034.642675	109.393374
7136.963909	109.431076
7240.773439	109.464914
7346.092914	109.427213
7452.944296	109.384791
7561.349867	109.271021
7671.332234	109.151043
7782.914330	109.005308
7896.119426	108.847671
8010.971128	108.620009
8127.493386	108.392346
8245.710500	108.170101
8365.647121	108.056335
8487.328260	107.861311
8610.779292	107.633649
8736.025961	107.410870
8863.094385	107.254301
8992.011061	107.026638
9122.802874	106.798976
9255.497097	106.495337
9390.121402	106.267675
9526.703863	106.040012
9665.272962	105.812350
9805.857594	105.584687
9948.487077	105.281049
10093.191154	105.053386
10240.000000	104.867202
10388.944230	104.598061
10540.054903	104.294423
10693.363532	103.990784
10848.902086	103.766002
11006.703001	103.652249
11166.799182	103.462363
11329.224017	103.308063
11494.011375	103.080400
11661.195620	102.776761
11830.811616	102.544949
12002.894734	102.247407
12177.480858	102.095587
12354.606395	101.943767
12534.308283	101.790401
12716.623996	101.562739
12901.591551	101.335076
13089.249521	101.108560
13279.637040	100.994815
13472.793808	100.880897
13668.760107	100.767153
13867.576801	100.653233
14069.285350	100.539491
14273.927818	100.425225
14481.546879	100.121163
14692.185828	99.817790
14905.888592	99.362466
15122.699734	98.907144
15342.664467	98.375845
15565.828661	97.693506
15792.238852	96.859749
16021.942256	96.099609
16254.986772	95.340649
16491.420999	94.581689
16731.294241	93.974681
16974.656520	93.291697
17221.558584	92.535521
17472.051922	91.399999
17726.188769	90.185716
17984.022122	89.119799
18245.605748	88.133177
18510.994194	86.926869
18780.242805	85.265773
19053.407727	83.515803
19330.545924	81.623192
19611.715189	79.361616
19896.974155	76.493834
20186.382308	74.138131
